"sentiment","word","frequency","total_reviews","total_freq","sentiment_ratio"
"Negative","advertis",11,11,11,1
"Negative","artifici",10,10,10,1
"Negative","aw",23,23,23,1
"Negative","babi",11,11,11,1
"Negative","bland",11,11,11,1
"Negative","bottom",10,10,10,1
"Negative","call",17,17,17,1
"Negative","cheap",11,11,11,1
"Negative","close",11,11,11,1
"Negative","come",10,10,10,1
"Negative","consum",10,10,10,1
"Negative","contact",14,14,14,1
"Negative","content",12,12,12,1
"Negative","corn",13,13,13,1
"Negative","custom",13,13,13,1
"Negative","cut",11,11,11,1
"Negative","date",19,19,29,0.655172413793103
"Negative","excit",15,15,15,1
"Negative","experi",11,11,11,1
"Negative","expir",11,11,11,1
"Negative","horribl",17,17,17,1
"Negative","hour",12,12,12,1
"Negative","inform",10,10,10,1
"Negative","label",16,16,16,1
"Negative","lack",10,10,10,1
"Negative","left",15,15,15,1
"Negative","live",13,13,13,1
"Negative","look",17,17,17,1
"Negative","machin",11,11,11,1
"Negative","monei",39,39,62,0.629032258064516
"Negative","notic",13,13,13,1
"Negative","onlin",12,12,12,1
"Negative","plastic",14,14,14,1
"Negative","pleasant",10,10,10,1
"Negative","post",12,12,12,1
"Negative","read",23,23,38,0.605263157894737
"Negative","refund",15,15,15,1
"Negative","replac",15,15,15,1
"Negative","rest",14,14,14,1
"Negative","return",28,28,28,1
"Negative","sell",22,22,22,1
"Negative","seller",13,13,13,1
"Negative","servic",10,10,10,1
"Negative","stale",15,15,15,1
"Negative","tasteless",10,10,10,1
"Negative","terribl",20,20,20,1
"Negative","think",12,12,12,1
"Negative","threw",14,14,14,1
"Negative","throw",13,13,13,1
"Negative","tini",12,12,12,1
"Negative","total",12,12,12,1
"Negative","true",10,10,10,1
"Negative","understand",10,10,10,1
"Negative","wast",29,29,29,1
"Negative","weak",14,14,14,1
"Negative","week",18,18,28,0.642857142857143
"Negative","worst",17,17,17,1
"Negative","wrong",22,22,36,0.611111111111111
"Neutral","almond",12,12,12,1
"Neutral","appl",10,10,10,1
"Neutral","benefit",10,10,10,1
"Neutral","bit",53,53,87,0.609195402298851
"Neutral","calori",22,22,34,0.647058823529412
"Neutral","care",19,19,19,1
"Neutral","coconut",10,10,10,1
"Neutral","compar",19,19,29,0.655172413793103
"Neutral","cost",17,17,27,0.62962962962963
"Neutral","decent",10,10,10,1
"Neutral","dri",12,12,12,1
"Neutral","fan",23,23,33,0.696969696969697
"Neutral","finish",10,10,10,1
"Neutral","grain",10,10,10,1
"Neutral","heat",12,12,12,1
"Neutral","huge",10,10,10,1
"Neutral","keurig",10,10,10,1
"Neutral","leav",18,18,29,0.620689655172414
"Neutral","like",14,14,14,1
"Neutral","list",21,21,33,0.636363636363636
"Neutral","medium",12,12,12,1
"Neutral","mind",10,10,10,1
"Neutral","nut",14,14,14,1
"Neutral","pepper",11,11,11,1
"Neutral","pick",10,10,10,1
"Neutral","piec",22,22,36,0.611111111111111
"Neutral","plain",10,10,10,1
"Neutral","prefer",24,24,38,0.631578947368421
"Neutral","protein",10,10,10,1
"Neutral","salti",17,17,17,1
"Neutral","slightli",12,12,12,1
"Neutral","soft",17,17,17,1
"Neutral","teeth",15,15,15,1
"Neutral","vanilla",10,10,10,1
"Neutral","white",13,13,13,1
"Positive","absolut",10,10,10,1
"Positive","addit",10,10,10,1
"Positive","ago",10,10,10,1
"Positive","altern",11,11,11,1
"Positive","amaz",15,15,15,1
"Positive","awesom",11,11,11,1
"Positive","banana",12,12,12,1
"Positive","bread",17,17,17,1
"Positive","breakfast",13,13,13,1
"Positive","caffein",11,11,11,1
"Positive","carri",13,13,13,1
"Positive","cat",11,11,11,1
"Positive","cereal",14,14,14,1
"Positive","chees",10,10,10,1
"Positive","choic",11,11,11,1
"Positive","continu",10,10,10,1
"Positive","cream",10,10,10,1
"Positive","delici",45,45,45,1
"Positive","easi",27,27,40,0.675
"Positive","excel",23,23,23,1
"Positive","glad",11,11,11,1
"Positive","gluten",13,13,13,1
"Positive","highli",21,21,21,1
"Positive","hous",10,10,10,1
"Positive","ic",17,17,17,1
"Positive","kid",16,16,26,0.615384615384615
"Positive","meal",16,16,26,0.615384615384615
"Positive","meat",10,10,10,1
"Positive","morn",13,13,13,1
"Positive","perfect",29,29,40,0.725
"Positive","pleas",10,10,10,1
"Positive","pure",10,10,10,1
"Positive","quick",18,18,28,0.642857142857143
"Positive","recip",10,10,10,1
"Positive","refresh",10,10,10,1
"Positive","rich",13,13,13,1
"Positive","satisfi",14,14,14,1
"Positive","smooth",18,18,18,1
"Positive","son",10,10,10,1
"Positive","sort",10,10,10,1
"Positive","sweeten",11,11,11,1
"Positive","take",13,13,13,1
"Positive","wonder",32,32,43,0.744186046511628
